doe_building_type,confidence,justification,key
OtherCommercial,0.9,Cleaning and waste management are commercial services not specific to other categories.,b2b_cleaning_and_waste_management
Hospital,0.85,Abuse and addiction treatment centers are often hospital or medical facility based.,abuse_and_addiction_treatment
OtherIndustrial,0.7,"Environmental abatement services are industrial or technical services, OtherIndustrial fits.",environmental_abatement_services
StandaloneRetail,0.75,Gemstone and mineral stores are retail outlets selling specialty goods.,gemstone_and_mineral
OtherCommercial,0.5,"Mulled wine is a product, no direct building type, assigned OtherCommercial.",mulled_wine
OutPatient,0.7,"Alternative medicine is a healthcare service, outpatient clinic fits best.",alternative_medicine
OtherCommercial,0.7,Diving centers are recreational commercial facilities.,diving_center
OtherCommercial,0.7,"volunteer_association is a non-profit or community organization, best mapped to OtherCommercial.",volunteer_association
SmallOffice,0.8,"Mechanical engineers work in office environments, fitting SmallOffice.",mechanical_engineers
LargeHotel,0.9,Beach resort is a large hotel or hospitality facility.,beach_resort
OtherCommercial,0.5,"Fountain is a feature, not a building type; assigned OtherCommercial as closest.",fountain
OtherCommercial,0.7,"Hindu temple is a place of worship, not fitting standard DOE building types.",hindu_temple
FullServiceRestaurant,0.9,"Moroccan restaurant is a sit-down dining establishment, fitting FullServiceRestaurant.",moroccan_restaurant
Warehouse,0.85,Stone supplier involves storage and distribution of materials.,stone_supplier
OutPatient,0.9,Dermatologist is a medical outpatient service.,dermatologist
SmallOffice,0.8,"Nail salons are small service businesses, often in small office or retail spaces.",nail_salon
SmallOffice,0.9,"Background check services are typically office-based professional services, fitting SmallOffice.",background_check_services
FullServiceRestaurant,0.9,Wild game meats restaurant is a full service dining establishment.,wild_game_meats_restaurant
OtherIndustrial,0.7,"Trains relate to transportation infrastructure, classified as industrial.",trains
SmallOffice,0.7,Manufacturing and industrial consultants work in office settings.,manufacturing_and_industrial_consultant
OtherCommercial,0.7,Laundry services are commercial but do not fit other specific categories.,laundry_services
StandaloneRetail,0.8,"Boat parts and accessories are retail goods, best categorized as StandaloneRetail.",boat_parts_and_accessories
OtherCommercial,0.7,"football_club is a sports organization, best mapped to OtherCommercial.",football_club
OtherCommercial,0.5,"Coach bus is a transportation service, no direct building type, so OtherCommercial.",coach_bus
OtherIndustrial,0.85,Recreation vehicle repair is an industrial service.,recreation_vehicle_repair
OtherCommercial,0.7,Town halls are government buildings not specifically categorized in DOE types.,town_hall
SmallOffice,0.9,"A biotechnology company is typically an office-based research and development business, fitting SmallOffice.",biotechnology_company
SmallOffice,0.8,"Executive search consultants are office-based, SmallOffice fits.",executive_search_consultants
Warehouse,0.9,"Electrical wholesaler likely involves storage and distribution, fitting warehouse.",electrical_wholesaler
OtherCommercial,0.6,"Misting system services are specialized commercial services, best mapped to OtherCommercial.",misting_system_services
OtherCommercial,0.7,Irrigation companies provide commercial services.,irrigation_companies
OtherCommercial,0.6,Caricature services are commercial but do not fit other specific DOE types.,caricature
StandaloneRetail,0.75,"Car stereo installation is a retail and service activity, best categorized as StandaloneRetail.",car_stereo_installation
OtherCommercial,0.6,"Cidery is a commercial beverage production facility, best matched to OtherCommercial.",cidery
LargeOffice,0.9,Central government offices are typically large office buildings.,central_government_office
StandaloneRetail,0.85,Video game stores are retail establishments.,video_game_store
QuickServiceRestaurant,0.95,Burger restaurant typically fits quick service restaurant category.,burger_restaurant
SmallOffice,0.8,"Paralegal services are professional office services, fitting small office.",paralegal_services
OtherCommercial,0.8,Medical supply businesses are commercial retail or wholesale.,medical_supply
OtherCommercial,0.9,Laundromats are commercial service facilities not fitting other specific categories.,laundromat
OtherCommercial,0.6,Auto security services are commercial but do not fit other DOE types.,auto_security
FullServiceRestaurant,0.9,"A bar serves food and drinks with table service, fitting FullServiceRestaurant.",bar
PrimarySchool,0.6,"School sports league is related to school activities, assigned to primary school as closest match.",school_sports_league
OutPatient,0.9,"Periodontist is a dental specialist, typically outpatient medical service.",periodontist
StandaloneRetail,0.75,"Scooter dealers sell vehicles and parts, fitting StandaloneRetail.",scooter_dealers
OtherIndustrial,0.7,Bookbinding is an industrial or manufacturing process.,bookbinding
SmallOffice,0.8,"Copywriting service is office-based work, SmallOffice fits.",copywriting_service
StandaloneRetail,0.7,Reptile shop is a retail pet store.,reptile_shop
OtherCommercial,0.7,Escape rooms are commercial entertainment venues not fitting other categories.,escape_rooms
SmallOffice,0.7,Adoption services are social services often provided in small office settings.,adoption_services
Hospital,0.9,Eating disorder treatment centers are healthcare facilities similar to hospitals.,eating_disorder_treatment_centers
FullServiceRestaurant,0.9,Israeli restaurant is a full-service dining establishment.,israeli_restaurant
OutPatient,0.9,"Proctologist is a medical specialty, typically served in outpatient clinics.",proctologist
OtherCommercial,0.6,"Free diving instruction is a commercial service, not fitting other categories.",free_diving_instruction
OtherIndustrial,0.8,Coal and coke production is industrial manufacturing.,coal_and_coke
OtherCommercial,0.6,"Tabletop games could be retail or entertainment, assigned to OtherCommercial.",tabletop_games
OtherCommercial,0.6,Baseball stadium is a large assembly space not in DOE types; OtherCommercial is closest.,baseball_stadium
OtherCommercial,0.6,Musicians may work in various settings; generally commercial or office spaces.,musician
OtherCommercial,0.7,"Wildlife sanctuary is a public/recreational facility, categorized as other commercial.",wildlife_sanctuary
SmallOffice,0.7,Debt relief services are office-based financial services.,debt_relief_services
OtherCommercial,0.7,"Cardio classes are fitness services, categorized as other commercial.",cardio_classes
OtherCommercial,0.7,"Registry office is a government or administrative office, assigned to other commercial.",registry_office
FullServiceRestaurant,0.95,Puerto Rican restaurant is a full-service dining establishment.,puerto_rican_restaurant
OtherCommercial,0.8,"Art restoration service is a specialized commercial service, not fitting typical office or retail categories.",art_restoration_service
SmallOffice,0.7,Editorial services are office-based professional services.,editorial_services
StripMall,0.7,B2B furniture and housewares likely operate in commercial retail or wholesale spaces such as strip malls.,b2b_furniture_and_housewares
SmallOffice,0.7,Matchmaker services are office-based professional services.,matchmaker
OtherCommercial,0.6,"Car sharing is a service, no direct DOE building type, assigned OtherCommercial.",car_sharing
OtherCommercial,0.7,"Amusement parks are large entertainment complexes, best mapped to OtherCommercial.",amusement_park
SmallOffice,0.75,Manufacturers agents and representatives are office-based sales services.,manufacturers_agents_and_representatives
StandaloneRetail,0.7,Religious items store is retail.,religious_items
OtherCommercial,0.6,"Cannabis tour is a commercial recreational activity, no direct DOE type; OtherCommercial.",cannabis_tour
FullServiceRestaurant,0.9,Potato restaurant is a type of full-service restaurant serving meals.,potato_restaurant
OtherCommercial,0.75,Basketball stadiums are large commercial entertainment venues.,basketball_stadium
SuperMarket,0.95,Organic grocery store is a supermarket type.,organic_grocery_store
OtherIndustrial,0.7,Business manufacturing and supply is industrial in nature.,business_manufacturing_and_supply
StandaloneRetail,0.75,Horse equipment shops are retail stores.,horse_equipment_shop
SmallOffice,0.8,Tattoo and piercing services are typically small office or salon spaces.,tattoo_and_piercing
OtherCommercial,0.6,"ATMs are standalone machines, not buildings, so OtherCommercial is assigned.",atms
OutPatient,0.9,"Ear, nose, and throat clinic is an outpatient medical facility.",ear_nose_and_throat
OtherIndustrial,0.95,Metal fabricators are industrial manufacturing operations.,metal_fabricator
OtherCommercial,0.6,"Professional sports leagues are organizations, best mapped to OtherCommercial.",professional_sports_league
OtherCommercial,0.7,"Electric vehicle charging stations are commercial infrastructure, best categorized as OtherCommercial.",electric_vehicle_charging_station
FullServiceRestaurant,0.9,Bolivian restaurant is a full service restaurant.,bolivian_restaurant
OtherCommercial,0.7,Beauty and spa services are commercial service businesses.,beauty_and_spa
OtherCommercial,0.7,Family counselor is a commercial service without a specific DOE building type.,family_counselor
OtherIndustrial,0.6,"Poultry farming is agricultural, assigned other industrial.",poultry_farming
OtherCommercial,0.7,Solar installation is a commercial service.,solar_installation
StandaloneRetail,0.9,Saree shop is a retail clothing store.,saree_shop
FullServiceRestaurant,0.9,Greek restaurant is a full service dining establishment.,greek_restaurant
OtherCommercial,0.75,Arcade is a recreational commercial facility.,arcade
OtherCommercial,0.7,"Church or cathedral is a religious facility, no direct DOE type, assigned OtherCommercial.",church_cathedral
OtherCommercial,0.5,Sledding rental is a recreational service without a DOE building type.,sledding_rental
StandaloneRetail,0.8,Uniform store is a retail operation selling clothing items.,uniform_store
OtherCommercial,0.6,"Playground is a recreational outdoor space, no direct DOE building type; OtherCommercial as general.",playground
SecondarySchool,0.7,"Specialty school likely refers to a specialized educational institution, best matched to SecondarySchool.",specialty_school
OtherCommercial,0.6,Wildlife control is a commercial service without a specific DOE building type.,wildlife_control
OtherCommercial,0.7,"Psychomotor therapist is a specialized therapy service, categorized as OtherCommercial.",psychomotor_therapist
StandaloneRetail,0.75,home_and_garden is a retail store type.,home_and_garden
OtherIndustrial,0.85,"Casting, molding, and machining are industrial manufacturing activities.",casting_molding_and_machining
OtherCommercial,0.8,Military museum is a cultural facility.,military_museum
OtherIndustrial,0.85,Transmission repair is an industrial/repair service.,transmission_repair
SmallOffice,0.8,IT service and computer repair typically operate in small office settings.,it_service_and_computer_repair
FullServiceRestaurant,0.9,A Jamaican restaurant is a full-service restaurant.,jamaican_restaurant
StandaloneRetail,0.9,"Hardware store is a retail establishment, fitting StandaloneRetail.",hardware_store
StandaloneRetail,0.8,Woodworking supply store is a retail establishment.,woodworking_supply_store
SmallOffice,0.8,Typing services are small office-based business.,typing_services
StandaloneRetail,0.9,"Bicycle shops are retail stores selling goods directly to consumers, fitting StandaloneRetail.",bicycle_shop
Hospital,0.95,Pediatric oncology is a specialized medical service typically provided in hospitals.,pediatric_oncology
OtherCommercial,0.5,"Patio covers are building features, no direct DOE building type.",patio_covers
StripMall,0.85,"Food court is typically located in a strip mall or mall setting, fitting StripMall.",food_court
FullServiceRestaurant,0.9,Kosher restaurant is a type of full-service restaurant.,kosher_restaurant
OtherCommercial,0.85,Spas are commercial service businesses.,spas
OtherCommercial,0.7,Airsoft fields are recreational facilities not fitting other categories.,airsoft_fields
StandaloneRetail,0.9,Womens clothing store is a retail establishment.,womens_clothing_store
OtherCommercial,0.6,"Episcopal church is a religious facility, mapped to OtherCommercial.",episcopal_church
FullServiceRestaurant,0.9,Senegalese restaurant is a full-service ethnic restaurant.,senegalese_restaurant
OutPatient,0.85,Eye care clinic is a medical outpatient facility.,eye_care_clinic
SmallOffice,0.7,"Lime professionals likely refers to professional services, fitting SmallOffice.",lime_professionals
OtherCommercial,0.6,"Medical law is a professional/legal service, fitting OtherCommercial.",medical_law
SmallOffice,0.8,IT consultant typically works in a small office environment.,it_consultant
OtherCommercial,0.6,"Boat charter is a recreational rental service, best mapped to other commercial.",boat_charter
OtherCommercial,0.6,"Onsen is a bathhouse/spa, mapped to OtherCommercial.",onsen
StandaloneRetail,0.7,Golf equipment is typically sold in standalone retail stores.,golf_equipment
StandaloneRetail,0.8,Automotive dealer is a retail establishment selling vehicles.,automotive_dealer
StandaloneRetail,0.7,Gold buyer is a retail service dealing with precious metals.,gold_buyer
OtherCommercial,0.75,Self-defense classes are commercial educational or fitness services.,self_defense_classes
OtherIndustrial,0.7,"Excavation service is industrial in nature, involving heavy equipment and site work.",excavation_service
OtherCommercial,0.6,"Carousel is an amusement ride, not fitting other DOE types, so OtherCommercial is best.",carousel
OtherCommercial,0.6,Boxing class is a recreational or fitness facility.,boxing_class
OtherCommercial,0.5,"Choir is an activity, no direct building type; assigned OtherCommercial.",choir
OtherIndustrial,0.9,Plastic company is an industrial manufacturing facility.,plastic_company
OtherCommercial,0.7,"Ayurveda is a wellness service, typically commercial but not fitting other specific categories.",ayurveda
StripMall,0.7,"Bazaars are typically open markets or collections of small retail shops, similar to strip malls.",bazaars
Warehouse,0.8,"Packing supply likely involves storage and distribution, fitting Warehouse.",packing_supply
SmallOffice,0.7,Translating and interpreting services are office-based professional services.,translating_and_interpreting_services
FullServiceRestaurant,0.9,Pan Asian restaurant is a full service restaurant.,pan_asian_restaurant
OtherCommercial,0.5,"Organization is a generic term, best mapped to OtherCommercial.",organization
SmallHotel,0.7,Accommodation generally fits hotel types; SmallHotel is a safe choice.,accommodation
OutPatient,0.9,Psychologists typically work in outpatient clinical settings.,psychologist
SmallOffice,0.8,Game publisher is an office-based business.,game_publisher
OtherIndustrial,0.9,Glass manufacturing is industrial.,glass_manufacturer
FullServiceRestaurant,0.9,Honduran restaurant is a full-service restaurant.,honduran_restaurant
SmallOffice,0.85,"Contract law is a legal service, typically in small office buildings.",contract_law
OtherCommercial,0.7,Animal rescue services are specialized commercial or community services.,animal_rescue_service
OtherCommercial,0.75,"Landmark and historical buildings do not fit other categories, so OtherCommercial is used.",landmark_and_historical_building
SmallOffice,0.6,"Immigration and naturalization services are administrative and legal, fitting SmallOffice.",immigration_and_naturalization
QuickServiceRestaurant,0.9,Delicatessen is a quick service food retail outlet.,delicatessen
SmallOffice,0.6,Limo services operate from small offices or garages; SmallOffice is the closest match.,limo_services
MediumOffice,0.85,Federal government offices are usually medium to large office buildings.,federal_government_offices
Warehouse,0.7,"Seafood wholesaler involves storage and distribution, typical of warehouses.",seafood_wholesaler
OtherIndustrial,0.7,"Stone and masonry work is industrial in nature, fitting OtherIndustrial.",stone_and_masonry
SmallOffice,0.7,"Traffic school is an educational office setting, fitting SmallOffice.",traffic_school
QuickServiceRestaurant,0.85,Salad bars are quick service food establishments.,salad_bar
OtherCommercial,0.5,Psychic medium is a commercial personal service without a specific DOE category.,psychic_medium
OtherCommercial,0.7,Aerial fitness centers are commercial fitness facilities.,aerial_fitness_center
OtherCommercial,0.7,"Car buyer activities are related to commercial sales or services, best fitting OtherCommercial.",car_buyer
OutPatient,0.85,Diagnostic services are outpatient medical services.,diagnostic_services
StandaloneRetail,0.8,"Surf shop is a retail store, best categorized as StandaloneRetail.",surf_shop
SmallOffice,0.7,Real estate investment is an office-based business.,real_estate_investment
OtherCommercial,0.6,"Paddleboarding lessons are recreational services, best categorized as OtherCommercial.",paddleboarding_lessons
OtherCommercial,0.75,"Yoga studios are fitness and wellness facilities, best categorized as OtherCommercial.",yoga_studio
SmallOffice,0.8,Appraisal services are typically small office environments.,appraisal_services
OtherCommercial,0.7,"Airport shuttles are transportation services, no direct building type.",airport_shuttles
FullServiceRestaurant,0.8,"A lounge typically serves food and drinks, fitting FullServiceRestaurant.",lounge
OtherCommercial,0.7,"Mortuary services are specialized services, fitting OtherCommercial.",mortuary_services
SmallOffice,0.8,"Radio and television commercials production is office-based media work, fitting SmallOffice.",radio_and_television_commercials
OtherCommercial,0.7,Firearm training is a commercial service.,firearm_training
FullServiceRestaurant,0.9,Tatar restaurant is a full-service restaurant.,tatar_restaurant
OtherCommercial,0.7,"Futsal field is a sports facility, no specific DOE building type, so OtherCommercial.",futsal_field
OtherIndustrial,0.9,"Scrap metal processing is industrial in nature, best categorized as OtherIndustrial.",scrap_metals
OtherIndustrial,0.8,Laser cutting service provider is an industrial service.,laser_cutting_service_provider
FullServiceRestaurant,0.8,Mexican restaurant is a full service restaurant.,mexican_restaurant
OtherCommercial,0.7,Chinese martial arts club is a recreational facility.,chinese_martial_arts_club
OtherCommercial,0.6,Public bath houses are commercial wellness facilities.,public_bath_houses
SmallOffice,0.7,Collection agencies are office-based service businesses.,collection_agencies
QuickServiceRestaurant,0.8,Tea room is typically a quick service or light dining establishment.,tea_room
SecondarySchool,0.8,Architecture schools are higher education but closest DOE type is SecondarySchool.,architecture_schools
SmallOffice,0.9,Advertising agencies are typically small office environments.,advertising_agency
OtherCommercial,0.7,"department_of_social_service is a government or social service office, mapped to OtherCommercial.",department_of_social_service
OtherCommercial,0.7,Modern art museum is a commercial cultural facility.,modern_art_museum
StandaloneRetail,0.8,Cannabis dispensaries are retail outlets selling products directly to consumers.,cannabis_dispensary
OtherCommercial,0.7,Package locker is a commercial service facility.,package_locker
SmallOffice,0.6,Telephone services are typically provided from small office buildings.,telephone_services
OtherCommercial,0.5,"Baseball field is an outdoor sports facility, no direct DOE building type.",baseball_field
SmallOffice,0.85,"Electrical consultant is an office-based professional service, fitting SmallOffice.",electrical_consultant
OtherCommercial,0.7,Auto glass service is a commercial automotive repair service.,auto_glass_service
OtherCommercial,0.7,Boat dealer is a commercial sales business not fitting retail or office.,boat_dealer
SmallOffice,0.7,Railway ticket agent is a small office or kiosk service.,railway_ticket_agent
SmallOffice,0.8,"Eyelash service is a small personal care service, often in small office or salon.",eyelash_service
SmallOffice,0.7,"Vocal coach is a small professional service, best matched to SmallOffice.",vocal_coach
FullServiceRestaurant,0.8,Beer bar is a full service restaurant type.,beer_bar
StripMall,0.75,Discount stores are often located in strip malls.,discount_store
OtherCommercial,0.7,Shoe repair is a commercial retail service.,shoe_repair
LargeOffice,0.85,Computer hardware companies typically operate in large office or industrial spaces.,computer_hardware_company
SmallOffice,0.6,"Video game critic work is office-based, fitting SmallOffice best.",video_game_critic
OtherCommercial,0.5,"Public phones are infrastructure, no direct DOE building type; assigned OtherCommercial.",public_phones
FullServiceRestaurant,0.9,Polish restaurant is a full-service dining establishment.,polish_restaurant
SmallOffice,0.7,Tai chi studio is a small fitness or instructional service.,tai_chi_studio
OtherCommercial,0.6,"Office cleaning is a service operation, best mapped to other commercial.",office_cleaning
OtherCommercial,0.6,"Valet service is a commercial service, no direct DOE type; OtherCommercial.",valet_service
OtherCommercial,0.5,"Public plaza is an outdoor public space, no direct DOE building type.",public_plaza
OtherCommercial,0.7,Pest control service is a commercial service business.,pest_control_service
OtherCommercial,0.6,"Rock climbing instructor is a service-based program, not fitting standard categories, so OtherCommercial is appropriate.",rock_climbing_instructor
OtherCommercial,0.7,Sport equipment rentals are commercial retail or service.,sport_equipment_rentals
OtherCommercial,0.7,Juvenile detention centers are specialized facilities not in DOE list.,juvenile_detention_center
StandaloneRetail,0.7,Safe stores are specialized retail outlets.,safe_store
OtherIndustrial,0.75,"Farm equipment and supply is industrial/commercial supply, fitting OtherIndustrial.",farm_equipment_and_supply
OtherCommercial,0.85,"Golf cart rental is a commercial rental service, best categorized as OtherCommercial.",golf_cart_rental
SmallOffice,0.8,Health consultant likely operates in a small office setting.,health_consultant
SuperMarket,0.85,"Greengrocers are grocery stores, best matched to supermarkets.",greengrocer
FullServiceRestaurant,0.7,"Bar crawl involves multiple bars, best approximated as full-service restaurant.",bar_crawl
OtherIndustrial,0.8,B2B tractor dealers involve industrial equipment sales and service.,b2b_tractor_dealers
OtherCommercial,0.6,Cooking classes are commercial educational services.,cooking_classes
SmallOffice,0.8,"Energy management and conservation consultants are professional office services, fitting SmallOffice.",energy_management_and_conservation_consultants
OtherIndustrial,0.7,Firewood production or sales is industrial in nature.,firewood
SmallOffice,0.8,Office equipment sales or services are retail or office-based; SmallOffice fits best.,office_equipment
OtherCommercial,0.6,"Natural hot springs are recreational/natural, no direct DOE type; OtherCommercial.",natural_hot_springs
FullServiceRestaurant,0.9,Barbecue restaurant is a full-service restaurant.,barbecue_restaurant
SmallOffice,0.75,Broadcasting media production is office-based work.,broadcasting_media_production
StandaloneRetail,0.8,Guitar store is a retail business.,guitar_store
SmallOffice,0.8,"Social media company is an office-based tech company, fitting small office.",social_media_company
SmallOffice,0.8,Transcription services are office-based professional services.,transcription_services
StandaloneRetail,0.9,"A watch store is a retail outlet selling watches, fitting the StandaloneRetail category.",watch_store
FullServiceRestaurant,0.8,Polynesian restaurant is a sit-down dining establishment.,polynesian_restaurant
OtherCommercial,0.6,"A cabaret is an entertainment venue, which fits under OtherCommercial.",cabaret
SmallOffice,0.9,Marketing agencies are small office commercial businesses.,marketing_agency
OtherCommercial,0.6,Nudist clubs are recreational/social clubs without a specific DOE building type.,nudist_clubs
StandaloneRetail,0.85,Agricultural seed store is a retail store selling products.,agricultural_seed_store
OtherIndustrial,0.9,"Pig farm is agricultural/industrial, best matched to OtherIndustrial.",pig_farm
OtherCommercial,0.7,Bingo halls are recreational facilities not fitting other categories.,bingo_hall
FullServiceRestaurant,0.8,Gluten free restaurant is a sit-down dining establishment.,gluten_free_restaurant
StandaloneRetail,0.8,Dental supply stores are retail outlets.,dental_supply_store
StandaloneRetail,0.8,Florist is a retail store.,florist
StandaloneRetail,0.85,"Flooring store is a retail establishment selling products, fitting StandaloneRetail.",flooring_store
OutPatient,0.9,Ultrasound imaging centers are outpatient medical facilities.,ultrasound_imaging_center
OtherCommercial,0.75,"Music school is an educational facility but not primary or secondary school, so OtherCommercial.",music_school
StandaloneRetail,0.75,Traditional clothing stores are retail establishments.,traditional_clothing
OutPatient,0.85,iv_hydration is a medical outpatient service.,iv_hydration
OtherIndustrial,0.8,"Boat building is a manufacturing activity, best categorized as OtherIndustrial.",boat_builder
SmallOffice,0.7,"Topic publishers are office-based businesses, best matched to SmallOffice.",topic_publisher
SmallOffice,0.7,"A certification agency is an office-based professional service, likely a SmallOffice.",certification_agency
FullServiceRestaurant,0.9,A Uruguayan restaurant is a full service restaurant.,uruguayan_restaurant
Warehouse,0.8,RV storage facility is a storage warehouse type.,rv_storage_facility
OtherCommercial,0.7,"Horse racing track is a specialized recreational facility, best categorized as OtherCommercial.",horse_racing_track
Warehouse,0.8,"Business records storage and management involves storage facilities, fitting Warehouse.",business_records_storage_and_management
OtherCommercial,0.6,"Nature reserve is a natural area, no direct DOE type; OtherCommercial.",nature_reserve
OtherCommercial,0.75,Ski and snowboard school is a commercial recreational educational service.,ski_and_snowboard_school
OtherCommercial,0.75,Sign making is a commercial service or light industrial activity.,sign_making
Hospital,0.85,Prenatal and perinatal care is medical care typically provided in hospital settings.,prenatal_perinatal_care
StandaloneRetail,0.9,"Outdoor furniture store is a retail establishment, best mapped to StandaloneRetail.",outdoor_furniture_store
OtherCommercial,0.7,archaeological_services is a professional service.,archaeological_services
OtherCommercial,0.7,"Massage services are commercial personal services, fitting OtherCommercial.",massage
FullServiceRestaurant,0.9,Nasi restaurant is a full-service restaurant serving meals.,nasi_restaurant
OtherCommercial,0.7,"Boat hire service is a commercial rental service, fitting OtherCommercial.",boat_hire_service
OtherIndustrial,0.7,Agriculture involves industrial or production activities.,agriculture
OtherCommercial,0.7,Soccer stadium is a commercial entertainment facility.,soccer_stadium
FullServiceRestaurant,0.85,Pigs trotters restaurant is a full-service dining establishment.,pigs_trotters_restaurant
FullServiceRestaurant,0.9,A Syrian restaurant is a full-service dining establishment.,syrian_restaurant
StandaloneRetail,0.8,Academic bookstores are retail stores.,academic_bookstore
StandaloneRetail,0.8,Candle store is a retail shop.,candle_store
OtherCommercial,0.7,Knife sharpening is a commercial service.,knife_sharpening
OutPatient,0.9,Pediatric gastroenterology is a specialized outpatient medical service.,pediatric_gastroenterology
SuperMarket,0.9,Superstore is a large retail grocery or general merchandise store.,superstore
FullServiceRestaurant,0.85,Vegan restaurant is a type of full-service restaurant.,vegan_restaurant
OtherCommercial,0.5,"Beach is an outdoor recreational area, no DOE building type fits well.",beach
OtherCommercial,0.6,"Dog walkers provide services typically not tied to a building, but if any, commercial space.",dog_walkers
OtherCommercial,0.8,Party equipment rental is a commercial service not fitting other specific categories.,party_equipment_rental
MobileHome,1.0,mobile_home_park directly corresponds to MobileHome DOE type.,mobile_home_park
SmallOffice,0.7,Money transfer services are typically small office operations.,money_transfer_services
OtherCommercial,0.6,"Ceiling service is a maintenance or repair service, categorized as other commercial.",ceiling_service
OtherIndustrial,0.7,"Tire shop involves automotive repair, fitting other industrial.",tire_shop
SmallOffice,0.7,B2B jewelers operate in small office or retail settings.,b2b_jewelers
OtherCommercial,0.6,Foundation repair is a commercial service without a specific DOE building type.,foundation_repair
SmallOffice,0.6,"Home energy auditor is a service provider, likely office-based, fitting SmallOffice.",home_energy_auditor
SmallOffice,0.7,Movie critic likely works in a small office setting.,movie_critic
SmallOffice,0.8,Court reporters typically work in small office environments.,court_reporter
FullServiceRestaurant,0.95,"A Slovakian restaurant serves full meals, fitting FullServiceRestaurant.",slovakian_restaurant
OtherCommercial,0.6,"Professional sports teams operate offices and facilities, best categorized as OtherCommercial.",professional_sports_team
StandaloneRetail,0.7,Boat parts and supply store is a retail establishment.,boat_parts_and_supply_store
OtherCommercial,0.7,Gutter service is a commercial service business.,gutter_service
SmallOffice,0.7,Spiritual shops are retail or small office spaces.,spiritual_shop
SmallHotel,0.9,"Ryokan is a traditional Japanese inn, fitting SmallHotel.",ryokan
PrimarySchool,0.8,"Day care and preschool services align with early childhood education, similar to PrimarySchool building type.",day_care_preschool
OtherCommercial,0.7,"Game truck rental is a mobile entertainment service, categorized as OtherCommercial.",game_truck_rental
OtherCommercial,0.7,Air duct cleaning is a commercial service.,air_duct_cleaning_service
OtherCommercial,0.8,"Fishing charter is a commercial recreational service, best categorized as OtherCommercial.",fishing_charter
SmallOffice,0.7,"Public adjuster is a professional office service, fitting small office.",public_adjuster
Hospital,0.9,Radiologist services are typically provided in hospital settings.,radiologist
OtherIndustrial,0.7,"Crop production is agricultural, not directly covered; OtherIndustrial is closest.",crops_production
OtherIndustrial,0.85,Drywall services relate to industrial or construction services.,drywall_services
OutPatient,0.9,Surgeons typically work in outpatient or hospital settings; outpatient chosen for office context.,surgeon
PrimarySchool,0.95,Private school corresponds to primary or secondary school DOE types; primary chosen as default.,private_school
OtherCommercial,0.7,Farrier services are specialized commercial services.,farrier_services
OtherCommercial,0.6,Dog parks are recreational but not a standard DOE building type; OtherCommercial is the closest fit.,dog_park
OutPatient,0.9,Pediatric dentist is an outpatient medical/dental service.,pediatric_dentist
SmallOffice,0.7,"Placenta encapsulation service is a specialized health-related service, likely office-based.",placenta_encapsulation_service
OtherCommercial,0.7,"Paddle tennis club is a recreational facility, categorized as OtherCommercial.",paddle_tennis_club
OtherCommercial,0.7,Circus school is an educational but specialized facility not covered by standard school types.,circus_school
LargeOffice,0.8,Media news companies typically operate in large office buildings.,media_news_company
SmallOffice,0.7,"Print media likely involves office work, categorized as SmallOffice.",print_media
OtherCommercial,0.75,Holistic animal care is a commercial service not fitting medical hospital or outpatient categories.,holistic_animal_care
SmallOffice,0.85,"Auto insurance is an office-based service, fitting SmallOffice.",auto_insurance
StripMall,0.9,A shopping center is best represented by the strip mall DOE building type.,shopping_center
StandaloneRetail,0.8,"Meat shop is a retail food store, best matched to standalone retail.",meat_shop
Hospital,0.7,Addiction rehabilitation centers provide medical and therapeutic services similar to hospitals.,addiction_rehabilitation_center
OtherIndustrial,0.7,Furniture reupholstery is an industrial or workshop activity.,furniture_reupholstery
QuickServiceRestaurant,0.85,Friterie is a fast food or quick service restaurant.,friterie
StandaloneRetail,0.9,Tobacco shop is a retail store.,tobacco_shop
OtherCommercial,0.7,Makerspace is a commercial creative workspace.,makerspace
StandaloneRetail,0.8,A craft shop is a retail store selling handmade goods.,craft_shop
OtherCommercial,0.3,Desert is not a building type; assigned OtherCommercial as a generic placeholder.,desert
OtherIndustrial,0.9,Weaving mill is an industrial manufacturing facility.,weaving_mill
OtherCommercial,0.75,Piano services are specialized commercial services.,piano_services
StandaloneRetail,0.9,"Musical instrument store is a retail establishment, fitting StandaloneRetail.",musical_instrument_store
OtherCommercial,0.4,Mystic is vague; assigned OtherCommercial as generic.,mystic
OtherCommercial,0.7,Online shop is an e-commerce business without a physical building type.,online_shop
FullServiceRestaurant,0.9,Schnitzel restaurant is a full-service restaurant.,schnitzel_restaurant
SmallOffice,0.7,Barre classes are fitness services often held in small office or studio spaces.,barre_classes
OtherCommercial,0.8,Television service providers are office or commercial service businesses.,television_service_providers
OtherCommercial,0.7,"Spray tanning is a personal service, best categorized as OtherCommercial.",spray_tanning
OutPatient,0.9,Osteopathic physicians usually work in outpatient medical offices.,osteopathic_physician
QuickServiceRestaurant,0.85,Ice cream and frozen yoghurt shops are quick service retail food.,ice_cream_and_frozen_yoghurt
QuickServiceRestaurant,0.9,Pizza delivery service aligns with quick service restaurant.,pizza_delivery_service
OtherCommercial,0.7,"Paint your own pottery is a recreational and retail activity, best categorized as OtherCommercial.",paint_your_own_pottery
